UserName,Handle,TimeStamp,Comments,Likes,Retweets,Text
The Daily Star,@dailystarnews,2022-09-04T07:22:35.000Z,"The government has decided to export #Hilsa fish to #India ahead of the country's biggest religious festival #DurgaPuja scheduled to be celebrated next month.
#Bangoadesh",,,
Pandit subodh Upadhyay,@subodhpanditji,2022-09-04T07:16:21.000Z,"Maa Durga Maha Arti 
#durgapuja2022 #Durgapuja",,,
Ganga arti wedding event,@gangaarti_org,2022-09-04T07:15:30.000Z,#durgapuja2022 #Durgapuja,,,
Asianetnews Bangla,@AsianetNewsBN,2022-09-04T04:26:51.000Z,"দেখে নিন ষষ্ঠীর দিন কেমন শাড়ি পরবেন
#saree #fashion #durgapuja #pujofashion",,,
Prathamesh Avachare,@onlyprathamesh,2022-09-04T04:14:56.000Z,Over 70% Of Hotel Rooms In The Tourist Destinations Of Northern West Bengal Are Booked For The #DurgaPuja Vacation!,,1,8
Kolkata Saradin Bangla,@BanglaSaradin,2022-09-04T04:03:05.000Z,#BreakingNews Rain in Durga Puja : “দুর্গাপুজোতেও চলবে একটানা বৃষ্টি” জানাল হাওয়া অফিস #durgapuja #Durgapuja2022 #WestBengal #kolkatasaradin #বাংলা #দুর্গাপূজা,,,3
Dhumketu,@dhumketu101,2022-09-04T03:23:44.000Z,"Thats me and every #Bengali I know ! 

#DurgaPuja #MaaAaschen",,,
Palash,@sahil_pe,2022-09-04T03:02:09.000Z,"Festival knocking at the doors - পুজো আসছে
#festival #durgapuja #durgapuja2022 #unescoworldheritage #bengalifestival #sharodiya #kolkata #festivaltour @ Elita Garden Vista, Newtown",,,
Newsz Now,@NewszNow,2022-09-04T01:33:56.000Z,"অপেক্ষার আর ২৬ দিন 
 
#Durgapuja2022 #durgapujaspecial #durgapuja #kolkata #durgapujakolkata #NewszNow #maaaschen",,1,4
Friends Digital,@919FriendsFm,2022-09-04T01:30:00.000Z,"26 Days to go…  etc...

#DurgaPuja #PujorFriendzy2022 #919FriendsFm",,1,2
Drishtibhongi,@Drishtibhongi,2022-09-04T01:30:00.000Z,"মা আসছেন। বাকি মাত্র ২৬ দিন

#DurgaPuja #DurgaPuja2022 #DurgaPujo2022 #MaaAschen #MaaDurga #durga #BarirPujo #BonediBari  #festival #countdown #pujoasche #RespectDurgaPujo #DurgaPujo #Drishtibhongi",,,
Dr. Indranil Mutsuddi,@mytravelnama,2022-09-03T16:23:22.000Z,"জীবনের চালচিত্রে কখনও বানভাসি
কখনও প্রখর রৌদ্র
লোডশেডিং-এ পিদিম হাতে
শেষ রাতে লিওনার্দো দা ভিঞ্চির হাতে
তখনও উজ্জ্বল বেঁচে থাকার ক্যানভাস।
#durgapuja #sarodiya #kolkata #mytravelnama",,,
