UserName,Handle,TimeStamp,Comments,Likes,Retweets,Text
TV9 Bangla,@Tv9_Bangla,2022-09-04T09:24:52.000Z,"পরের মাসে এই তারিখে নবমী। পুজো প্রায় শেষমুহূর্তে। আপনার পুজোর কী প্ল্যান? কলকাতার কোন ঠাকুর দেখার প্ল্যান? আপনাদের সেরা পুজোর জানকারি দেব আমরাই। পুজোর সেরা কভারেজ দেখুন TV9 বাংলা ডিজিটালে। দেখুন নব আনন্দে। ৫ ই সেপ্টেম্বর থেকে রোজ দুপুর ২টো, সন্ধে৬টা ও রাত ১০টায়।

#DurgaPuja",,1,1
Moneycontrol,@moneycontrolcom,2022-09-04T09:20:39.000Z,"#MCWeekendReads  This is the first Pujo since the festival was included in the UNESCO Intangible Cultural Heritage list. 
@Kamalika_89
 writes about the preparations and expectation on the ground 
https://moneycontrol.com/news/trends/travel-trends/planning-to-go-to-kolkata-for-pujo-this-year-heres-what-to-expect-9128591.html…

#DurgaPuja #Kolkata #UNESCO",,,2
Mysepik,@mysepik,2022-09-04T09:10:04.000Z,"আশঙ্কা বাড়িয়েছে মৌসম ভবন এবং হাওয়া অফিসের এক পূর্বাভাস
https://mysepik.com/weather-office-predicts-heavy-rain-on-durga-puja-this-year-as-well/…
#Mysepik #WeatherUpdate #weather #WeatherForecast #DurgaPuja #rain",,,
Shovan Ghose,@shovan101,2022-09-04T08:56:37.000Z,"The 'Khuti' (খুঁটি) stands, in spite of the storm.
#khuti_pujo
#DurgaPuja
#UNESCO",,,1
Dhumketu,@dhumketu101,2022-09-04T05:44:01.000Z,"@letterati_
 collaborated with #BBlockDurgaPuja for this Gem ! 

#DurgaPuja #MaaAaschen",,,
Business Upturn,@businessupturn,2022-09-04T05:21:16.000Z,"PM Sheikh Hasina: “We take immediate action whenever minorities are attacked in Bangladesh”
#BangladeshPM #CommunalClash #CommunalHarmony #DurgaPuja",,,
Dakshayani Durga,@DakshayaniDurga,2022-09-04T05:13:52.000Z,Shree Shree Durga Durgeshwari #dakshayanidurga #durgapuja2022  #Durgapuja,,,
Sukanta Hui,@sukantahui,2022-09-04T05:10:01.000Z,Durga Puja inscribed on the UNESCO Representative List of the Intangible #Cultural #heritage of Humanity. #Durgapuja,,,
UltraTech 7 Wonders,@ultratech7wndrs,2022-09-04T05:03:48.000Z,"Will Sanatan Dharmotsahini Sabha Pandal be one of the UltraTech 7 Wonders of Durga Puja 2022? 
Like and Follow to stay tuned!
#UltraTech7Wonders2022 #UltraTech #UltraTech7Wonders #UltraTechCement #DurgaPuja #UNESCO #Kolkata #Bengal #WestBengal #PujaPandal #pujo #IndiasNo1Cement",,,1
horekrokom | হরেকরকম,@horek_rokom,2022-09-04T05:03:25.000Z,"Idol by renowned sculptor Shri Pradip Rudra Pal. 
Notice the marble texture that has been recreated using only clay and paints! 
There is also a twist in Devi's Lion..it is made completely in a new style .. Not sharing the picture here.. Let's keep it for the puja! 
#Durgapuja",1,2,9
